timestamp,ICMP loss,ICMP ping,ICMP response time,B12_ Bits_ received,B12_ Bits_ sent,B12_Duplex_ status,B12_ Inbound_ packets_ discarded,B12_ Inbound_ packets_ with_ errors,B12_Interface_ type,B12_ Operational_ status,B12_Outbound_ packets_ discarded,B12_Outbound_ packets_ with_ errors,B12_ Speed,B13_ Bits_ received,B13_ Bits_ sent,B13_ Duplex_ status,B13_ Inbound_ packets_ discarded,B13_ Inbound_ packets_ with_ errors,B13_ Interface type,B13_ Operational_ status,B13_ Outbound_ packets_ discarded,B13_Outbound_ packets_ with_ errors,B13_Speed,C3_ Bits_ received,C3_ Bits_ sent,C3_ Duplex_ status,C3_ Inbound_ packets_ discarded,C3_ Inbound_ packets_ with_ errors,C3_ Interface_ type,C3_Operational_ status,C3_ Outbound_ packets_ discarded,C3_ Outbound_ packets_ with_ errors,C3_ Speed,B14_Bits_ received,B14_ Bits_ sent,B14_Inbound_ packets_ discarded,B14_Inbound_ packets_ with_ errors,B14_Interface_ type,B14_ Operational_ status,B14_ Outbound_ packets_ discarded,B14_ Outbound_ packets_ with_ errors,B14_ Speed,SNMP agent availability,Uptime (network),class,router_name,hop_to_server,hop_to_core,downstream_dependents,path_up
1761834900,100,0,0,120,168,2,0,0,6,1,0,0,10000000,120,168,2,0,0,6,1,0,0,10000000,37299,1036046,3,0,0,6,1,0,0,100000000,0,0,0,0,6,1,0,0,100000000,1,29069,T,CORE-R6,5,3,1,1
1761834960,100,0,0,120,168,2,0,0,6,1,0,0,10000000,120,168,2,0,0,6,1,0,0,10000000,37222,1033045,3,0,0,6,1,0,0,100000000,0,0,0,0,6,1,0,0,100000000,1,29129,T,CORE-R6,5,3,1,1
1761835020,100,0,0,120,168,2,0,0,6,1,0,0,10000000,120,168,2,0,0,6,1,0,0,10000000,37146,1030043,3,0,0,6,1,0,0,100000000,0,0,0,0,6,1,0,0,100000000,1,29129,T,CORE-R6,5,3,1,1
1761835080,100,0,0,120,168,2,0,0,6,1,0,0,10000000,120,168,2,0,0,6,1,0,0,10000000,37069,1027042,3,0,0,6,1,0,0,100000000,0,0,0,0,6,1,0,0,100000000,1,29129,T,CORE-R6,5,3,1,1
1761835140,100,0,0,120,168,2,0,0,6,1,0,0,10000000,120,168,2,0,0,6,1,0,0,10000000,36992,1024040,3,0,0,6,1,0,0,100000000,0,0,0,0,6,1,0,0,100000000,1,29129,T,CORE-R6,5,3,1,1
1761835200,100,0,0,128,160,2,0,0,6,1,0,0,10000000,128,176,2,0,0,6,1,0,0,10000000,40352,1189184,3,0,0,6,1,0,0,100000000,0,0,0,0,6,1,0,0,100000000,1,29368,T,CORE-R6,5,3,1,1
1761835260,100,0,0,123,161,2,0,0,6,1,0,0,10000000,126,174,2,0,0,6,1,0,0,10000000,39880,1150041,3,0,0,6,1,0,0,100000000,0,0,0,0,6,1,0,0,100000000,1,29426,T,CORE-R6,5,3,1,1
1761835320,100,0,0,117,162,2,0,0,6,1,0,0,10000000,124,172,2,0,0,6,1,0,0,10000000,39408,1110898,3,0,0,6,1,0,0,100000000,0,0,0,0,6,1,0,0,100000000,1,29487,T,CORE-R6,5,3,1,1
1761835380,100,0,0,112,163,2,0,0,6,1,0,0,10000000,123,170,2,0,0,6,1,0,0,10000000,38936,1071755,3,0,0,6,1,0,0,100000000,0,0,0,0,6,1,0,0,100000000,1,29561,T,CORE-R6,5,3,1,1
1761835440,100,0,0,115,164,2,0,0,6,1,0,0,10000000,121,168,2,0,0,6,1,0,0,10000000,38464,1032613,3,0,0,6,1,0,0,100000000,0,0,0,0,6,1,0,0,100000000,1,29561,T,CORE-R6,5,3,1,1
1761835500,100,0,0,118,164,2,0,0,6,1,0,0,10000000,119,168,2,0,0,6,1,0,0,10000000,37992,993470,3,0,0,6,1,0,0,100000000,0,0,0,0,6,1,0,0,100000000,1,29561,T,CORE-R6,5,3,1,1
1761835560,100,0,0,122,165,2,0,0,6,1,0,0,10000000,117,168,2,0,0,6,1,0,0,10000000,37520,954327,3,0,0,6,1,0,0,100000000,0,0,0,0,6,1,0,0,100000000,1,29561,T,CORE-R6,5,3,1,1
1761835620,100,0,0,125,166,2,0,0,6,1,0,0,10000000,116,168,2,0,0,6,1,0,0,10000000,37048,915184,3,0,0,6,1,0,0,100000000,0,0,0,0,6,1,0,0,100000000,1,29561,T,CORE-R6,5,3,1,1
1761835680,100,0,0,128,167,2,0,0,6,1,0,0,10000000,114,168,2,0,0,6,1,0,0,10000000,36576,1130712,3,0,0,6,1,0,0,100000000,0,0,0,0,6,1,0,0,100000000,1,29871,T,CORE-R6,5,3,1,1
1761835740,0,1,0.178,56,168,2,0,0,6,1,0,0,10000000,112,96,2,0,0,6,1,0,0,10000000,36416,1346240,3,0,0,6,1,0,0,100000000,0,0,0,0,6,1,0,0,100000000,1,29905,H,CORE-R6,5,3,1,1
1761835800,0,1,0.553,80,171,2,0,0,6,1,0,0,10000000,117,125,2,0,0,6,1,0,0,10000000,36677,1219136,3,0,0,6,1,0,0,100000000,0,0,0,0,6,1,0,0,100000000,1,29966,H,CORE-R6,5,3,1,1
1761835860,100,0,0,104,173,2,0,0,6,1,0,0,10000000,123,155,2,0,0,6,1,0,0,10000000,36939,1092032,3,0,0,6,1,0,0,100000000,0,0,0,0,6,1,0,0,100000000,1,30028,T,CORE-R6,5,3,1,1
